inventory_id,store_id,product_id,quantity_on_hand
1,1,1001,310
2,1,1002,470
3,1,1003,442
4,1,1004,200
5,1,1005,268
6,1,1006,10
7,1,1007,197
8,1,1008,279
9,1,1009,128
10,1,1010,0
11,1,1011,300
12,1,1012,462
13,1,1013,381
14,1,1014,78
15,2,1001,0
16,2,1002,363
17,2,1003,338
18,2,1004,132
19,2,1005,355
20,2,1006,475
21,2,1007,0
22,2,1008,330
23,2,1009,500
24,2,1010,0
25,2,1011,332
26,2,1012,277
27,2,1013,195
28,2,1014,8
29,3,1001,372
30,3,1002,337
31,3,1003,156
32,3,1004,186
33,3,1005,315
34,3,1006,118
35,3,1007,498
36,3,1008,207
37,3,1009,286
38,3,1010,90
39,3,1011,324
40,3,1012,238
41,3,1013,50
42,3,1014,402
43,4,1001,295
44,4,1002,476
45,4,1003,140
46,4,1004,455
47,4,1005,433
48,4,1006,44
49,4,1007,17
50,4,1008,461
51,4,1009,443
52,4,1010,230
53,4,1011,73
54,4,1012,186
55,4,1013,451
56,4,1014,60
57,5,1001,326
58,5,1002,317
59,5,1003,500
60,5,1004,27
61,5,1005,225
62,5,1006,293
63,5,1007,35
64,5,1008,334
65,5,1009,276
66,5,1010,139
67,5,1011,151
68,5,1012,46
69,5,1013,419
70,5,1014,410
