product_id,product_name,category,unit_price,supplier_id
1001,Basmati Rice 5kg,Groceries,450,5
1002,Wheat Flour 1kg,Groceries,35,1
1003,Amul Milk 1L,Dairy,55,4
1004,Paneer 250g,Dairy,180,4
1005,Refined Oil 1L,Cooking Oil,-100,1
1006,Mustard Oil 500ml,Cooking Oil,120,1
1007,Turmeric Powder 100g,Spices,0,1
1008,Chili Powder 100g,Spices,65,1
1009,Coca Cola 1.5L,Beverages,85,5
1010,Mineral Water 1L,Beverages,25,4
1011,Lays Chips 40g,Snacks,30,4
1012,Biscuits Mix 200g,Snacks,40,4
1013,Shampoo 200ml,Personal Care,120,2
1014,Soap 125g,Personal Care,35,4
