po_id,supplier_id,order_date,delivery_date
70001,3,2024-03-03,2024-03-07
70002,1,2024-06-22,2024-07-02
70003,4,2024-06-03,2024-06-06
70004,3,2024-03-26,2024-04-05
70005,4,2024-04-26,2024-05-09
70006,3,2024-03-19,2024-03-28
70007,2,2024-06-17,2024-06-26
70008,5,2024-12-18,2024-12-30
70009,3,2024-07-02,2024-07-13
70010,5,2024-08-25,
70011,2,2024-06-09,2024-06-19
70012,4,2024-04-27,2024-05-02
70013,2,2024-04-14,2024-04-19
70014,2,2024-12-21,2024-12-25
70015,2,2024-08-10,2024-08-23
70016,4,2024-03-27,2024-04-04
70017,4,2024-08-19,
70018,3,2024-11-15,2024-11-19
70019,3,2024-06-30,2024-07-13
70020,2,2024-04-17,2024-04-23
70021,3,2024-07-18,2024-07-24
70022,4,2024-12-14,2024-12-21
70023,2,2024-08-01,2024-08-04
70024,2,2024-05-29,2024-06-03
70025,4,2024-04-18,
70026,3,2024-01-24,2024-01-29
70027,4,2024-05-14,2024-05-27
70028,1,2024-01-23,2024-01-28
70029,3,2024-03-19,2024-04-02
70030,5,2024-09-26,2024-10-09
70031,1,2024-07-26,2024-07-31
70032,2,2024-09-28,2024-10-06
70033,4,2024-09-04,
70034,4,2024-12-23,2024-12-26
70035,1,2024-05-17,2024-05-27
70036,2,2024-05-18,2024-05-30
70037,3,2024-07-12,2024-07-21
70038,4,2024-10-31,2024-11-04
70039,2,2024-12-09,2024-12-20
70040,2,2024-11-15,
70041,1,2024-07-24,
70042,1,2024-12-12,2024-12-23
70043,5,2024-10-18,2024-10-28
70044,2,2024-02-14,2024-02-17
70045,2,2024-08-12,2024-08-15
70046,5,2024-01-19,2024-01-27
70047,4,2024-10-26,2024-11-05
70048,1,2024-02-21,2024-03-03
70049,1,2024-10-14,2024-10-25
70050,5,2024-11-10,2024-11-14
70051,2,2024-08-28,2024-09-10
70052,4,2024-07-11,2024-07-14
70053,4,2024-07-07,
70054,5,2024-03-30,
70055,5,2024-08-21,
70056,1,2024-03-19,2024-03-23
70057,3,2024-04-10,
70058,5,2024-11-27,
70059,4,2024-10-18,2024-10-31
70060,5,2024-10-02,2024-10-07
70061,4,2024-07-17,2024-07-25
70062,5,2024-09-12,2024-09-23
70063,2,2024-11-29,2024-12-05
70064,5,2024-09-03,2024-09-10
70065,5,2024-10-08,
70066,5,2024-10-17,2024-10-31
70067,2,2024-02-14,2024-02-23
70068,4,2024-12-08,2024-12-13
70069,3,2024-07-02,2024-07-14
70070,4,2024-06-11,2024-06-23
70071,1,2024-05-26,2024-06-01
70072,5,2024-11-05,2024-11-16
70073,3,2024-03-22,
70074,3,2024-04-25,
70075,3,2024-10-13,2024-10-21
70076,4,2024-09-18,2024-09-30
70077,3,2024-09-05,2024-09-11
70078,4,2024-07-16,2024-07-21
70079,3,2024-10-30,2024-11-11
70080,2,2024-10-17,2024-10-27
70081,3,2024-07-15,2024-07-18
70082,1,2024-10-12,2024-10-25
70083,3,2024-05-01,2024-05-11
70084,5,2024-03-26,2024-04-02
70085,2,2024-02-07,2024-02-15
70086,4,2024-11-18,2024-11-30
70087,2,2024-06-11,
70088,3,2024-12-24,2025-01-01
70089,1,2024-09-05,2024-09-10
70090,3,2024-03-24,
70091,2,2024-07-11,2024-07-16
70092,5,2024-12-10,
70093,3,2024-09-28,2024-10-02
70094,3,2024-09-11,
70095,3,2024-01-13,2024-01-21
70096,5,2024-07-24,2024-07-29
70097,3,2024-02-12,2024-02-15
70098,1,2024-08-11,
70099,2,2024-02-26,2024-03-04
70100,3,2024-05-23,
70101,5,2024-05-13,2024-05-21
70102,2,2024-03-15,2024-03-28
70103,4,2024-12-05,
70104,4,2024-08-14,2024-08-18
70105,3,2024-07-08,
70106,1,2024-01-09,2024-01-23
70107,4,2024-02-02,2024-02-06
70108,4,2024-02-09,
70109,2,2024-06-02,2024-06-06
70110,2,2024-06-11,2024-06-22
70111,2,2024-05-07,2024-05-21
70112,5,2024-07-31,2024-08-12
70113,4,2024-10-31,2024-11-06
70114,5,2024-03-03,2024-03-15
70115,1,2024-01-17,2024-01-21
70116,1,2024-02-15,2024-02-27
70117,1,2024-08-15,2024-08-18
70118,5,2024-08-09,2024-08-14
70119,3,2024-01-27,2024-01-30
70120,1,2024-06-12,2024-06-24
70121,3,2024-11-04,2024-11-18
70122,1,2024-05-16,2024-05-19
70123,3,2024-10-11,2024-10-18
70124,5,2024-12-03,2024-12-16
70125,5,2024-02-01,2024-02-04
70126,2,2024-01-15,2024-01-22
70127,5,2024-05-07,
70128,2,2024-01-28,2024-02-11
70129,5,2024-05-12,
70130,3,2024-02-06,2024-02-20
70131,1,2024-10-16,2024-10-30
70132,1,2024-03-15,
70133,5,2024-06-27,2024-07-02
70134,1,2024-08-09,2024-08-22
70135,1,2024-03-13,
70136,5,2024-04-20,2024-04-24
70137,5,2024-01-25,2024-02-06
70138,2,2024-08-28,
70139,3,2024-07-13,2024-07-16
70140,3,2024-08-28,2024-09-09
70141,1,2024-02-18,2024-03-01
70142,1,2024-03-02,2024-03-06
70143,5,2024-05-11,2024-05-14
70144,4,2024-05-02,2024-05-15
70145,2,2024-05-01,2024-05-08
70146,4,2024-04-10,2024-04-18
70147,4,2024-08-19,2024-09-01
70148,5,2024-06-12,2024-06-20
70149,2,2024-12-07,2024-12-11
70150,2,2024-09-21,2024-09-24
70151,5,2024-05-10,2024-05-15
70152,5,2024-04-12,2024-04-15
70153,1,2024-11-21,2024-11-28
70154,4,2024-05-12,
70155,4,2024-12-08,2024-12-20
70156,2,2024-04-01,
70157,1,2024-01-05,
70158,5,2024-04-11,2024-04-22
70159,5,2024-11-06,2024-11-19
70160,3,2024-04-30,2024-05-05
70161,4,2024-08-28,2024-09-11
70162,3,2024-04-16,2024-04-28
70163,1,2024-03-14,
70164,3,2024-11-22,2024-11-30
70165,2,2024-11-22,
70166,1,2024-05-09,2024-05-19
70167,3,2024-08-07,2024-08-18
70168,4,2024-06-23,2024-07-03
70169,5,2024-02-21,
70170,4,2024-05-10,2024-05-17
70171,2,2024-03-15,2024-03-29
70172,5,2024-04-01,2024-04-07
70173,3,2024-11-08,2024-11-19
70174,5,2024-02-18,
70175,3,2024-07-20,2024-08-01
70176,3,2024-04-13,2024-04-18
70177,3,2024-07-13,2024-07-17
70178,2,2024-07-18,2024-07-24
70179,1,2024-02-10,2024-02-18
70180,2,2024-09-23,2024-09-30
70181,5,2024-07-22,2024-07-30
70182,2,2024-12-22,2024-12-30
70183,4,2024-03-02,2024-03-11
70184,4,2024-11-21,2024-12-05
70185,1,2024-03-31,2024-04-05
70186,4,2024-07-30,2024-08-06
70187,5,2024-09-17,
70188,3,2024-12-20,
70189,5,2024-12-27,2025-01-03
70190,5,2024-01-16,2024-01-28
70191,5,2024-07-17,2024-07-22
70192,4,2024-06-27,2024-06-30
70193,1,2024-12-07,2024-12-14
70194,4,2024-05-15,2024-05-27
70195,5,2024-02-08,2024-02-19
70196,4,2024-06-23,2024-07-04
70197,5,2024-06-03,2024-06-11
70198,3,2024-04-25,
70199,1,2024-10-24,2024-11-02
70200,1,2024-04-10,2024-04-15
70201,3,2024-11-13,2024-11-20
70202,4,2024-02-20,2024-02-23
70203,1,2024-01-12,2024-01-19
70204,2,2024-04-22,2024-04-30
70205,1,2024-12-23,2024-12-28
70206,3,2024-11-13,2024-11-18
70207,2,2024-01-01,2024-01-11
70208,2,2024-05-25,
70209,2,2024-04-19,2024-04-24
70210,1,2024-10-08,2024-10-18
70211,3,2024-03-08,2024-03-14
70212,3,2024-06-05,2024-06-17
70213,4,2024-04-27,2024-05-06
70214,1,2024-11-13,2024-11-16
70215,1,2024-01-30,2024-02-07
70216,2,2024-08-14,2024-08-21
70217,3,2024-07-07,2024-07-10
70218,2,2024-11-22,
70219,4,2024-04-07,2024-04-13
70220,4,2024-06-28,2024-07-06
70221,1,2024-10-30,2024-11-06
70222,5,2024-12-17,
70223,1,2024-04-15,2024-04-20
70224,4,2024-05-11,2024-05-14
70225,1,2024-12-21,2024-12-27
70226,5,2024-05-15,2024-05-21
70227,5,2024-12-27,2025-01-02
70228,4,2024-10-19,2024-10-26
70229,5,2024-12-05,2024-12-13
70230,2,2024-06-25,2024-07-01
70231,2,2024-02-11,
70232,2,2024-08-09,2024-08-16
70233,1,2024-10-28,2024-11-01
70234,4,2024-02-24,2024-03-09
70235,3,2024-04-18,2024-04-21
70236,3,2024-11-14,2024-11-28
70237,3,2024-04-16,2024-04-28
70238,2,2024-01-14,2024-01-17
70239,4,2024-06-03,
70240,1,2024-05-02,2024-05-09
70241,4,2024-08-10,2024-08-15
70242,1,2024-08-27,2024-09-02
70243,2,2024-06-05,2024-06-17
70244,2,2024-04-29,2024-05-03
70245,4,2024-07-30,
70246,3,2024-02-17,2024-02-22
70247,4,2024-05-24,2024-05-31
70248,4,2024-01-05,2024-01-14
70249,5,2024-03-24,2024-04-05
70250,3,2024-10-16,2024-10-23
70251,5,2024-01-06,2024-01-10
70252,4,2024-03-04,2024-03-07
70253,2,2024-04-10,2024-04-18
70254,1,2024-03-05,2024-03-08
70255,4,2024-08-13,2024-08-25
70256,1,2024-09-20,2024-09-25
70257,4,2024-02-01,2024-02-08
70258,1,2024-01-04,2024-01-12
70259,4,2024-12-20,2024-12-30
70260,5,2024-07-19,2024-07-27
70261,1,2024-10-12,2024-10-20
70262,3,2024-03-20,2024-04-02
70263,4,2024-10-18,
70264,4,2024-10-09,2024-10-21
70265,1,2024-02-04,2024-02-17
70266,2,2024-03-21,
70267,3,2024-09-26,2024-09-29
70268,5,2024-04-11,
70269,1,2024-01-13,2024-01-20
70270,5,2024-10-28,2024-11-11
70271,2,2024-03-25,2024-04-03
70272,3,2024-04-19,2024-04-23
70273,3,2024-09-28,2024-10-01
70274,5,2024-11-14,
70275,5,2024-10-23,2024-10-26
70276,2,2024-03-17,2024-03-28
70277,3,2024-02-14,2024-02-23
70278,1,2024-12-11,
70279,5,2024-05-15,
70280,2,2024-06-30,
70281,4,2024-04-16,2024-04-25
70282,2,2024-05-06,2024-05-14
70283,2,2024-10-08,2024-10-18
70284,4,2024-07-03,2024-07-08
70285,3,2024-03-20,2024-04-02
70286,3,2024-07-04,2024-07-07
70287,1,2024-09-04,2024-09-18
70288,3,2024-02-26,
70289,2,2024-12-26,2025-01-03
70290,4,2024-06-24,2024-06-29
70291,2,2024-11-01,2024-11-12
70292,4,2024-07-20,2024-08-01
70293,1,2024-05-11,2024-05-25
70294,2,2024-09-16,2024-09-22
70295,4,2024-06-18,2024-06-29
70296,5,2024-11-09,2024-11-14
70297,5,2024-11-21,
70298,3,2024-08-29,2024-09-06
70299,5,2024-05-23,2024-06-04
70300,3,2024-04-16,2024-04-20
