transaction_id,store_id,product_id,quantity_sold,unit_price,total_amount,sale_date
50001,4,1008,9,65.0,585.0,2024-07-22
50002,1,1004,4,180.0,720.0,2024-02-24
50003,3,1006,10,120.0,1200.0,2024-11-11
50004,3,1004,4,180.0,720.0,2024-03-17
50005,5,1009,8,85.0,680.0,2024-04-08
50006,5,1009,6,85.0,510.0,2024-07-31
50007,3,1013,1,120.0,120.0,2024-01-18
50008,5,1009,7,85.0,595.0,2024-10-19
50009,4,1011,2,30.0,60.0,2024-08-29
50010,5,1007,7,45.0,315.0,2024-08-21
50011,5,1012,5,40.0,200.0,2024-05-28
50012,1,1002,6,35.0,210.0,2024-05-22
50013,4,1005,6,185.0,1110.0,2024-02-12
50014,3,1005,2,185.0,370.0,2024-01-11
50015,5,1004,3,180.0,540.0,2024-01-03
50016,2,1009,2,85.0,170.0,2024-12-15
50017,5,1002,7,35.0,245.0,2024-02-20
50018,4,1002,8,35.0,280.0,2024-01-23
50019,5,1009,3,85.0,255.0,2024-01-04
50020,4,1009,2,85.0,170.0,2024-02-06
50021,3,1006,8,120.0,960.0,2024-09-26
50022,2,1008,7,65.0,455.0,2024-09-19
50023,3,1007,1,45.0,45.0,2024-03-16
50024,5,1008,1,65.0,65.0,2024-04-23
50025,4,1012,9,40.0,360.0,2024-01-10
50026,4,1011,2,30.0,60.0,2024-09-14
50027,4,1003,7,55.0,385.0,2024-10-13
50028,5,1013,6,120.0,720.0,2024-07-29
50029,1,1006,7,120.0,840.0,2024-05-20
50030,5,1012,10,40.0,400.0,2024-07-21
50031,4,1014,1,35.0,35.0,2024-04-25
50032,1,1012,4,40.0,160.0,2024-07-17
50033,5,1014,3,35.0,105.0,2024-10-28
50034,2,1008,1,65.0,65.0,2024-03-17
50035,3,1012,6,40.0,240.0,2024-01-26
50036,4,1004,10,180.0,1800.0,2024-06-17
50037,2,1013,1,120.0,120.0,2024-12-29
50038,3,1006,4,120.0,480.0,2024-07-01
50039,5,1006,5,120.0,600.0,2024-03-19
50040,2,1006,2,120.0,240.0,2024-12-09
50041,3,1008,9,65.0,585.0,2024-08-27
50042,5,1011,2,30.0,60.0,2024-01-31
50043,1,1009,5,85.0,425.0,2024-08-13
50044,4,1006,2,120.0,240.0,2024-01-31
50045,3,1004,10,180.0,1800.0,2024-09-11
50046,3,1014,2,35.0,70.0,2024-09-22
50047,1,1010,9,25.0,225.0,2024-10-13
50048,4,1013,6,120.0,720.0,2024-11-13
50049,5,1014,3,35.0,105.0,2024-11-27
50050,3,1003,7,55.0,385.0,2024-03-19
50051,4,1010,2,25.0,50.0,2024-10-23
50052,3,1004,5,180.0,900.0,2024-07-28
50053,5,1011,8,30.0,240.0,2024-10-23
50054,3,1005,5,185.0,925.0,2024-07-30
50055,5,1006,4,120.0,480.0,2024-11-09
50056,5,1014,7,35.0,245.0,2024-07-26
50057,4,1008,3,65.0,195.0,2024-02-04
50058,1,1013,10,120.0,1200.0,2024-01-08
50059,5,1001,3,450.0,1350.0,2024-04-10
50060,4,1011,6,30.0,180.0,2024-10-01
50061,1,1003,6,55.0,330.0,2024-05-02
50062,5,1013,1,120.0,120.0,2024-01-08
50063,5,1001,5,450.0,2250.0,2024-03-16
50064,5,1008,8,65.0,520.0,2024-05-22
50065,3,1008,7,65.0,455.0,2024-01-18
50066,5,1009,7,85.0,595.0,2024-11-19
50067,4,1003,10,55.0,550.0,2024-02-10
50068,5,1014,10,35.0,350.0,2024-01-06
50069,5,1013,7,120.0,840.0,2024-03-20
50070,1,1012,6,40.0,240.0,2024-04-18
50071,1,1008,7,65.0,455.0,2024-02-08
50072,5,1003,5,55.0,275.0,2024-10-01
50073,3,1010,6,25.0,150.0,2024-04-28
50074,2,1005,6,185.0,1110.0,2024-09-23
50075,2,1005,10,185.0,1850.0,2024-11-02
50076,3,1004,1,180.0,180.0,2024-05-28
50077,3,1003,2,55.0,110.0,2024-11-26
50078,1,1005,7,185.0,1295.0,2024-05-10
50079,5,1008,2,65.0,130.0,2024-04-28
50080,1,1004,1,180.0,180.0,2024-03-12
50081,3,1006,10,120.0,1200.0,2024-04-18
50082,2,1002,1,35.0,35.0,2024-05-15
50083,4,1010,4,25.0,100.0,2024-12-16
50084,4,1008,6,65.0,390.0,2024-11-24
50085,4,1008,7,65.0,455.0,2024-06-06
50086,3,1003,1,55.0,55.0,2024-04-25
50087,1,1006,6,120.0,720.0,2024-05-10
50088,2,1014,7,35.0,245.0,2024-05-02
50089,4,1014,7,35.0,245.0,2024-05-21
50090,2,1009,8,85.0,680.0,2024-06-24
50091,5,1011,5,30.0,150.0,2024-06-02
50092,5,1007,2,45.0,90.0,2024-05-15
50093,3,1002,7,35.0,245.0,2024-09-13
50094,4,1009,5,85.0,425.0,2024-01-09
50095,1,1008,1,65.0,65.0,2024-04-21
50096,3,1010,9,25.0,225.0,2024-03-21
50097,3,1009,10,85.0,850.0,2024-01-27
50098,2,1008,3,65.0,195.0,2024-04-28
50099,2,1009,4,85.0,340.0,2024-07-11
50100,2,1005,9,185.0,1665.0,2024-09-08
50101,5,1007,3,45.0,135.0,2024-06-19
50102,3,1013,4,120.0,480.0,2024-12-03
50103,1,1007,7,45.0,315.0,2024-01-27
50104,2,1010,2,25.0,50.0,2024-01-01
50105,5,1002,4,35.0,140.0,2024-03-09
50106,5,1003,7,55.0,385.0,2024-07-14
50107,2,1012,7,40.0,280.0,2024-05-27
50108,2,1007,9,45.0,405.0,2024-10-19
50109,3,1012,3,40.0,120.0,2024-09-23
50110,4,1010,10,25.0,250.0,2024-07-20
50111,3,1003,10,55.0,550.0,2024-02-27
50112,4,1013,5,120.0,600.0,2024-07-23
50113,4,1012,8,40.0,320.0,2024-01-18
50114,5,1008,7,65.0,455.0,2024-10-12
50115,2,1010,7,25.0,175.0,2024-02-07
50116,3,1012,3,40.0,120.0,2024-06-08
50117,1,1009,8,85.0,680.0,2024-02-13
50118,3,1001,9,450.0,4050.0,2024-10-19
50119,2,1006,3,120.0,360.0,2024-12-06
50120,2,1014,3,35.0,105.0,2024-06-16
50121,1,1010,7,25.0,175.0,2024-12-26
50122,5,1008,2,65.0,130.0,2024-09-15
50123,4,1005,5,185.0,925.0,2024-11-12
50124,5,1009,6,85.0,510.0,2024-03-21
50125,1,1004,2,180.0,360.0,2024-05-31
50126,4,1010,1,25.0,25.0,2024-08-08
50127,2,1011,10,30.0,300.0,2024-05-06
50128,5,1001,2,450.0,900.0,2024-02-07
50129,1,1003,3,55.0,165.0,2024-12-25
50130,4,1006,5,120.0,600.0,2024-09-22
50131,3,1014,7,35.0,245.0,2024-07-28
50132,3,1011,1,30.0,30.0,2024-09-20
50133,1,1002,4,35.0,140.0,2024-10-25
